"id","gene","category"
"GO:0005737","KALRNB","CC"
"GO:0005886","SI:DKEY-153K10.9","CC"
"GO:0046872","ACO2","MF"
"GO:0006099","ACO2","BP"
"GO:0005856","EVLA","CC"
"GO:0030027","EVLA","CC"
"GO:0012505","CDC42EP4A","CC"
"GO:0010008","VTA1","CC"
"GO:0033116","ERGIC2","CC"
"GO:0005765","SEC13","CC"
"GO:0000139","STX6","CC"
"GO:0005856","PXNA","CC"
"GO:0005938","PXNA","CC"
"GO:0005509","PCDH18B","MF"
"GO:0005788","P4HA1B","CC"
"GO:0005524","PTK2AB","MF"
"GO:0005634","ILF3A","CC"
"GO:0005737","ILF3A","CC"
"GO:0005198","COPB2","MF"
"GO:0000139","COPB2","CC"
"GO:0005634","DCP1B","CC"
"GO:0000276","ATP5IB","CC"
"GO:0005524","PRKD2","MF"
"GO:0035999","MTHFD1L","BP"
"GO:0005524","CSNK1G2B","MF"
"GO:0005524","NAT10","MF"
"GO:0051391","NAT10","BP"
"GO:0005524","SI:CH211-120P12.3","MF"
"GO:0006172","AK1","BP"
"GO:0046033","AK1","BP"
"GO:0046034","AK1","BP"
"GO:0005576","SLIT2","CC"
"GO:0019563","GK5","BP"
"GO:0005730","POP4","CC"
"GO:0006631","SI:CH211-212O1.2","BP"
"GO:0048471","TRAPPC2L","CC"
"GO:0042383","VCL","CC"
"GO:0033017","TRDN","CC"
"GO:0030659","PACSIN1A","CC"
"GO:0032587","PACSIN1A","CC"
"GO:0045202","PACSIN1A","CC"
"GO:0046872","MIPEP","MF"
"GO:0005634","GATA2A","CC"
"GO:0005515","NEGR1","MF"
"GO:0005634","FAM188A","CC"
"GO:0003729","CLUHA","MF"
"GO:0007005","CLUHA","BP"
"GO:0048312","CLUHA","BP"
"GO:0031647","ATF7IP","BP"
"GO:0050821","ATF7IP","BP"
"GO:0090309","ATF7IP","BP"
"GO:0005634","ATF7IP","CC"
"GO:0005525","SEPT15","MF"
"GO:0000776","SEPT15","CC"
"GO:0005819","SEPT15","CC"
"GO:0030496","SEPT15","CC"
"GO:0032154","SEPT15","CC"
"GO:0007098","HAUS6","BP"
"GO:0051225","HAUS6","BP"
"GO:0005815","HAUS6","CC"
"GO:1990498","HAUS6","CC"
"GO:0070652","HAUS6","CC"
"GO:0016567","SPOPLB","BP"
"GO:0031397","SPOPLB","BP"
"GO:0043161","SPOPLB","BP"
"GO:0031463","SPOPLB","CC"
"GO:0005794","SLC35A4","CC"
"GO:0005576","SCG2B","CC"
"GO:0031497","CHAF1A","BP"
"GO:0045892","ZGC:162967","BP"
"GO:0033186","CHAF1A","CC"
"GO:0005524","CSK","MF"
"GO:0000463","BOP1","BP"
"GO:0000466","BOP1","BP"
"GO:0051726","BOP1","BP"
"GO:0005654","BOP1","CC"
"GO:0070545","BOP1","CC"
"GO:0005739","MTUS1A","CC"
"GO:0005794","MTUS1A","CC"
"GO:0005886","MTUS1A","CC"
"GO:0031902","VPS37C","CC"
